No,CATEGORY,shortDesc,description,finish,featured,fallback_image,SKU,Name,Dimensions,Weight,Stock,ImageUrl
1309,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.42,STOOL FULL POLISH,34 Cm + 33 Cm + 45 Cm,104,1,https://drive.google.com/uc?export=view&id=1rJCtSfQojEKUV0coXEuV84GnfwN7z5U7
1310,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.43,STOOL FULL POLISH,34 Cm + 31 Cm + 45 Cm,91,1,https://drive.google.com/uc?export=view&id=1V8EYsZ66yI6xNkJ3CKQO07UZwqsIcT-f
1311,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.44,STOOL FULL POLISH,34 Cm + 28 Cm + 45 Cm,72,1,https://drive.google.com/uc?export=view&id=1SsINX0kkAxFkQxGWsvYo-W-YgishIeFo
1312,,,,Semi-Gloss Polish,FALSE,,PJA.33.45,STOOL FULL POLISH,35 Cm + 31 Cm + 45 Cm,104,0,https://drive.google.com/uc?export=view&id=1m1-McwW4W-kWcGmtPSUNYq-3V54HEDS3
1313,,,,Semi-Gloss Polish,FALSE,,PJA.33.46,STOOL FULL POLISH,35 Cm + 35 Cm + 40 Cm,90,0,https://drive.google.com/uc?export=view&id=19v8Jwt-pkfC7cVS9eWsRLhcCdtDQWs7B
1314,Living Room,,,Semi-Gloss Polish,FALSE,,PJA.33.48,SIGNATURE COFFEE TABLE,161 Cm + 133 Cm + 30 Cm,1080,1,https://drive.google.com/uc?export=view&id=1__zX-E62febol_v6ugKeCHc2Y-jAdez6
1315,Bathub,,,Semi-Gloss Polish,FALSE,,PJA.29.5,PEDESTAL SINK,52 Cm + 43 Cm + 90 Cm,214,1,https://drive.google.com/uc?export=view&id=1UEzzaFjGRVu5KUEfE5R03Oyl6sprgW7S
1316,Bathub,,,Semi-Gloss Polish,FALSE,,PJA.29.6,PEDESTAL SINK,50 Cm + 35 Cm + 90 Cm,227,1,https://drive.google.com/uc?export=view&id=15A7hfiebpvbUt2zb2WgNsLSyfgsxm63x
1317,Bathub,,,Semi-Gloss Polish,FALSE,,PJA.29.8,PEDESTAL SINK,50 Cm + 40 Cm + 90 Cm,230,0,https://drive.google.com/uc?export=view&id=1biJuJyRy66lE7CLag5qyDNC0OHXAhE4_
1318,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.49,NATURE STONE,136 Cm + 118 Cm + 297 Cm,5570,1,https://drive.google.com/uc?export=view&id=1X-aY0mBzGyJuU5cx9Hv44_i4MBP5eMBC
